,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
165,17853,1822,32,1,16,0,1690,80568,0,4
166,17849,1826,33,1,14,0,1693,80568,0,4
167,17845,1830,36,0,15,0,1694,80568,0,4
168,17842,1833,37,0,17,0,1696,80568,0,4
169,17834,1842,45,0,21,0,1697,80568,1,4
170,17829,1847,47,0,22,0,1700,80568,1,4
171,17825,1851,49,0,24,0,1702,80568,1,4
172,17820,1856,48,0,23,0,1707,80568,0,4
173,17815,1862,53,0,25,0,1708,80568,1,4
174,17811,1866,56,2,30,0,1709,80568,1,4
175,17806,1871,57,4,29,0,1713,80568,1,4
176,17799,1878,58,6,26,0,1718,80568,0,4
177,17791,1887,63,6,27,0,1722,80568,1,4
178,17787,1893,65,6,28,0,1726,80568,3,4
179,17780,1900,68,7,27,0,1730,80568,3,4
180,17773,1908,72,7,29,0,1733,80568,3,4
181,17764,1918,72,6,29,0,1741,80568,2,4
182,17758,1924,73,5,33,0,1746,80568,2,4
183,17751,1931,75,3,35,0,1750,80568,1,4
184,17743,1940,78,3,37,0,1755,80568,1,4
185,17737,1946,79,3,39,0,1760,80568,1,4
186,17729,1956,85,2,45,0,1764,80568,3,4
187,17727,1959,82,2,46,0,1769,80568,3,4
188,17721,1965,81,2,46,0,1776,80568,3,4
189,17713,1973,79,1,47,0,1784,80568,1,4
190,17706,1981,82,2,48,0,1788,80568,1,4
191,17702,1985,79,4,47,0,1795,80568,1,4
192,17701,1986,73,5,41,0,1802,80568,1,4
193,17695,1992,69,6,37,0,1811,80568,0,4
194,17684,2003,74,6,39,0,1817,80568,0,4
195,17673,2015,79,5,40,0,1824,80568,1,4
196,17665,2025,81,5,36,0,1832,80568,3,4
197,17659,2032,82,4,32,0,1838,80568,4,4
198,17651,2042,83,2,32,0,1846,80568,5,4
199,17643,2052,89,2,41,0,1848,80568,5,4
200,17634,2061,91,1,47,0,1854,80568,4,4
201,17630,2065,85,1,47,0,1862,80568,2,4
202,17624,2071,82,2,45,0,1869,80568,0,4
203,17618,2078,85,2,49,0,1873,80568,1,4
204,17611,2085,91,4,54,0,1874,80568,1,4
205,17608,2089,89,4,57,0,1880,80568,2,4
206,17604,2093,81,3,51,0,1891,80568,1,4
207,17598,2101,78,4,45,0,1902,80568,3,4
208,17592,2108,76,5,42,0,1910,80568,3,4
209,17587,2113,75,4,44,0,1916,80568,3,4
210,17583,2117,69,4,39,0,1924,80568,1,4
211,17579,2121,64,3,36,0,1932,80568,0,4
212,17573,2127,61,3,33,0,1941,80568,0,4
213,17569,2131,61,4,34,0,1945,80568,0,4
214,17564,2137,61,4,33,0,1951,80568,1,4
215,17559,2142,60,3,32,0,1957,80568,1,4
216,17556,2145,56,4,28,0,1964,80568,1,4
217,17553,2148,55,4,31,0,1967,80568,0,4
218,17545,2156,59,3,32,0,1971,80568,0,4
219,17536,2166,63,3,31,0,1977,80568,1,4
220,17529,2173,64,3,30,0,1983,80568,1,4
221,17524,2178,64,3,28,0,1988,80568,1,4
222,17515,2187,68,3,27,0,1992,80568,0,4
223,17512,2191,68,2,32,0,1996,80568,1,4
224,17507,2196,67,2,35,0,2002,80568,1,4
225,17503,2200,67,2,38,0,2006,80568,1,4
226,17494,2211,72,2,38,0,2011,80568,2,4
227,17491,2214,70,2,42,0,2016,80568,2,4
228,17487,2218,71,1,43,0,2019,80568,2,4
229,17483,2222,70,1,45,0,2022,80568,0,4
230,17475,2230,70,2,40,0,2030,80568,0,4
231,17467,2238,69,3,39,0,2039,80568,0,4
232,17463,2242,66,3,35,0,2046,80568,0,4
233,17457,2248,67,3,34,0,2051,80568,0,4
234,17451,2255,65,3,29,0,2060,80568,1,4
235,17443,2265,72,3,34,0,2063,80568,3,4
236,17437,2271,73,4,36,0,2068,80568,3,4
237,17432,2276,73,3,37,0,2072,80568,2,4
238,17427,2281,67,2,35,0,2081,80568,0,4
239,17419,2290,73,2,38,0,2084,80568,1,4
240,17417,2293,72,3,41,0,2088,80568,2,4
241,17414,2298,73,3,43,0,2092,80568,4,4
242,17406,2308,74,3,40,0,2100,80568,5,4
243,17400,2314,71,2,38,0,2108,80568,4,4
244,17390,2326,77,2,42,0,2112,80568,4,4
245,17385,2331,74,2,38,0,2118,80568,2,4
246,17378,2338,75,2,35,0,2124,80568,2,4
247,17371,2346,73,3,34,0,2132,80568,1,4
248,17370,2348,69,4,33,0,2138,80568,2,4
249,17367,2352,68,5,37,0,2143,80568,3,4
250,17366,2353,63,6,36,0,2148,80568,2,4
251,17366,2353,54,6,35,0,2156,80568,1,4
252,17363,2356,54,7,39,0,2158,80568,0,4
253,17361,2358,53,7,37,0,2161,80568,0,4
254,17360,2359,46,5,34,0,2169,80568,0,4
255,17359,2360,41,3,31,0,2175,80568,0,4
256,17358,2361,32,2,22,0,2185,80568,0,4
257,17358,2361,27,1,21,0,2190,80568,0,4
258,17355,2364,23,2,15,0,2197,80568,0,4
259,17355,2364,16,1,10,0,2204,80568,0,4
260,17355,2364,15,1,10,0,2205,80568,0,4
261,17355,2364,12,1,8,0,2208,80568,0,4
262,17353,2366,13,1,7,0,2209,80568,0,4
263,17353,2366,13,1,10,0,2209,80568,0,4
